caseStartTimestamp,caseJurisdictionId,caseEndTimestamp,userID
2022-03-01 12:25:00,Probate,2022-04-27 12:31:00,5927
2022-03-02 11:13:00,Divorce,2022-04-27 11:13:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-03 10:52:00,Divorce,2022-04-27 10:32:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-04 09:41:00,Probate,2022-04-27 09:24:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-05 12:15:00,Probate,2022-04-27 12:12:00,5927
2022-03-06 11:14:00,Divorce,2022-04-27 11:54:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-07 10:42:00,Divorce,2022-04-27 10:42:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-08 11:23:00,Probate,2022-04-27 09:13:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-09 09:43:00,Probate,2022-04-27 11:32:00,5927
2022-03-10 12:26:00,Divorce,2022-04-27 12:35:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-12 10:25:00,Divorce,2022-04-27 10:21:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-11 12:23:00,Probate,2022-04-27 09:42:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-13 11:53:00,Probate,2022-04-27 12:35:00,5927
2022-03-14 09:43:00,Divorce,2022-04-27 11:12:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-15 12:56:00,Divorce,2022-04-27 10:32:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-16 11:35:00,Probate,2022-04-27 12:54:00,af23201f-eaf8-4e86-81bc-fb244eb9d314
2022-03-17 10:12:00,Probate,2022-04-27 11:14:00,5927
2022-03-18 11:23:00,Divorce,2022-04-27 12:21:00,4c152236-a40a-423a-b97e-b9535dda633c
2022-03-19 12:34:00,Divorce,2022-04-27 09:24:00,f731eda0-9e75-44e1-916a-1edcf38c3a7c
2022-03-20 12:10:00,Probate,2022-04-27 12:34:00,af23201f-eaf8-4e86-81bc-fb244eb9d314

